 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
                   |            |                   | H7R5XQ1                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX06-DAS01
 00088061          | PUR1323640 | 92NZCS2           | 92NZCS2                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX06-DAS02
 00084648          | PUR1323640 | HM0DXQ2           | HM0DXQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVSPLIDX07
 00084650          | PUR1323640 | HNQ6XQ2           | HNQ6XQ2                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX07-DAS01
 00084651          | PUR1323640 | H7R8XQ2           | H7R8XQ2                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX07-DAS02
 00080313          | PUR0695223 | 3Z5BH02           | 3Z5BH02                                      | DELL          | POWEREDGE R620      | SERVER   | EVSPLIDX91
 00084644          | PUR1326725 | 3CV81Q2           | 3CV81Q2                                      | DELL          | POWEREDGE R640      | SERVER   | EVSPLSES01
                   |            |                   | BVQ8S52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRC01
                   |            |                   | BVPMS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRC02
 N0031657          | PUR0963917 | 8TQZ482           | 8TQZ482                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRCES
 N0031694          | PUR1001739 | HHNZHB2           | HHNZHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVVSRX01
 00081486          | PUR1001739 | HHP0JB2           | HHP0JB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVVSRX02
 00084413          | PUR1333388 | 4JMHHQ2           | 4JMHHQ2                                      | DELL          | POWEREDGE R740XD    | SERVER   | EVVSRX04
 00084645          | PUR1333388 | 4JN9HQ2           | 4JN9HQ2                                      | DELL          | POWEREDGE R740XD    | SERVER   | EXVSRX03
 00080195          | PUR0814460 | 1HFY842           | 1HFY842                                      | DELL          | POWEREDGE R620      | SERVER   | FFRATM1PRD
                   |            |                   | JCPPHQ2                                      | DELL          | POWEREDGE R640      | SERVER   | FFRATM1PRD2
 00080196          | PUR0868095 | 4TK3S52           | 4TK3S52                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP07
 00080197          | PUR0868095 | 4TK4S52           | 4TK4S52                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP08
 00080198          | PUR0868095 | 4TK5S52           | 4TK5S52                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP09
 N0031819          | PUR1103202 | 82N0CH2           | 82N0CH2                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP12
                   |            |                   | 9178VR1                                      | DELL          | POWEREDGE R710      | SERVER   | NUFMZENMASTER
                   |            |                   | 9179VR1                                      | DELL          | POWEREDGE R710      | SERVER   | NUFMZENSLAVE
                   |            |                   | CZ3920T4Z3                                   | DELL          | POWEREDGE R720      | SERVER   | NUQVMHOST06
                   |            |                   | CZ3920T4Z5                                   | DELL          | POWEREDGE R720      | SERVER   | NUQVMHOST07
 00079281          | PUR1125517 | G4S7HH2           | G4S7HH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSPRD
 00079279          | PUR1125517 | G4S5HH2           | G4S5HH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSPRDDATE
 00079282          | PUR1125517 | G4S6HH2           | G4S6HH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSTST
 00079280          | PUR1125517 | G4RBHH2           | G4RBHH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSTSTDAT
 N0019742          | PUR0765232 | 175LN22           | 175LN22                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7APP
 N0031720          | PUR0750793 | CV4MW12           | CV4MW12                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7APPTEST
 N0031723          | PUR0765232 | 175KN22           | 175KN22                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7DAT
 N0031721          | PUR0750793 | CV3PW12           | CV3PW12                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7DATTEST
                   |            |                   | 10V0V52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP01A
 00081498          | PUR0883531 | 10TYT52           | 10TYT52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP02A
 00081497          | PUR0883531 | 10TXT52           | 10TXT52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP03A
 N0031696          | PUR0883531 | 10TZT52           | 10TZT52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP04A
                   |            |                   | 8TFH333                                      | DELL          | POWEREDGE R640      | SERVER   | VMBKUP05A
                   |            |                   | 8WYXHK2                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP05A-OLD
 00081519          | PUR0864573 | GF2GR52           | GF2GR52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP06
                   |            |                   | 8WYWHK2                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP07
                   |            |                   | MXQ93704QX                                   | HP            | PROLIANT DL360      | SERVER   | EVCOP1
                   |            |                   | MKQ93704QK                                   | HP            | PROLIANT DL360      | SERVER   | EVCOP2
                   |            |                   | MXQ93704QZ                                   | HP            | PROLIANT DL360      | SERVER   | EVCOP3
                   |            |                   | ACLGRS8                                      | PELCO         | ENDURA NVR5124-6000 | SERVER   | POLICE VIDEO
                   |            |                   | 9855182                                      | CODE42        | S2-48               | STORAGE  | BACKUP3
                   |            |                   | 9875182                                      | CODE42        | S2-48               | STORAGE  | BACKUP4
                   |            |                   | 9867182                                      | CODE42        | S2-48               | STORAGE  | BACKUP5
                   |            |                   | C7KKYV1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03A
                   |            |                   | C7JMYV1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03B
                   |            |                   | C7KLYV1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03C
                   |            |                   | FQH4FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01A
                   |            |                   | FQG5FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01B
                   |            |                   | FQH5FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01C
                   |            |                   | FQF5FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02A
 00079107          | PUR0596893 | 36CWGX1           | 36CWGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02B
 00079108          | PUR0596893 | 36DTGX1           | 36DTGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02C
 00079105          | PUR0596893 | 36CVGX1           | 36CVGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03A
 00079106          | PUR0596893 | 36CTGX1           | 36CTGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03B
                   |            |                   | FQF4FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03C
                   |            |                   | FQF6FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04A
                   |            |                   | FQG4FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04B
                   |            |                   | FQG6FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04C
 N0031600          | PUR0737189 | 4BCMV12           | 4BCMV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05A
 N0031586          | PUR0737189 | 4BCLV12           | 4BCLV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05B
 N0031590          | PUR0737189 | 4BDKV12           | 4BDKV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05C
 N0031588          | PUR0737189 | 4BCKV12           | 4BCKV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06A
 N0031589          | PUR0737189 | 4BDLV12           | 4BDLV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06B
 N0031587          | PUR0737189 | 4BDMV12           | 4BDMV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06C
 00077000          | PUR0335239 | 5MZLXQ1           | 5MZLXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS01A
 00077001          | PUR0335239 | 5MZQXQ1           | 5MZQXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS01B
 00077983          | PUR0423266 | 2F0ZMS1           | 2F0ZMS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS01C
 00077003          | PUR0335239 | 5MZNXQ1           | 5MZNXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS02A
 00077002          | PUR0335239 | 5MZPXQ1           | 5MZPXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS02B
 00077985          | PUR0423266 | 2F10NS1           | 2F10NS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS02C
 00077990          | PUR0423266 | DJYYLS1           | DJYYLS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04A
 00077988          | PUR0423266 | DJZWLS1           | DJZWLS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04B
 00078003          | PUR0423266 | 2F0VMS1           | 2F0VMS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04C
 00077989          | PUR0423266 | DJYXLS1           | DJYXLS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04D
