1                name               |           model            |  asset_type  | serial_number 
193  TECH-RTR-3                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1623ABHE

194  TECH-RTR-3                       | N7K-SUP2E                  | ROUTERMODULE | JAE19160536

195  TECH-RTR-3                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGGN

196  TECH-RTR-3                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGGQ

197  TECH-RTR-3                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1622BAAQ

198  TECH-RTR-3                       | N7K-SUP2E                  | ROUTERMODULE | JAE19160534

199  TECH-RTR-3                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1708AQJG

200  TECH-RTR-3                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1845ADBA

201  TECH-RTR-4                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1849AMLT

202  TECH-RTR-4                       | N7K-F248XP-25E             | ROUTERMODULE | JAE202303KU

203  TECH-RTR-4                       | N7K-SUP2E                  | ROUTERMODULE | JAE1916051P

204  TECH-RTR-4                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1626AGQL

205  TECH-RTR-4                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1626BHKT

206  TECH-RTR-4                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGMM

207  TECH-RTR-4                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1626ANCS

208  TECH-RTR-4                       | N7K-SUP2E                  | ROUTERMODULE | JAE1916053B

209  TECH-RTR-5                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1624BHQG

210  TECH-RTR-5                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1623AEKK

211  TECH-RTR-5                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGLS

212  TECH-RTR-5                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1522CCJT

213  TECH-RTR-5                       | N7K-SUP2E                  | ROUTERMODULE | JAE19150EWU

214  TECH-RTR-5                       | N7K-SUP2E                  | ROUTERMODULE | JAE1916053N

215  TECH-RTR-5                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1626AGSL

216  TECH-RTR-5                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1648AKBQ

217  TECH-RTR-5                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1846AGDP

218  TECH-RTR-6                       | N7K-F248XP-25E             | ROUTERMODULE | JAE202206T2

219  TECH-RTR-6                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1626BHKR

220  TECH-RTR-6                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1625ADSR

221  TECH-RTR-6                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGHC

222  TECH-RTR-6                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1524BBRP

223  TECH-RTR-6                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGHT

224  TECH-RTR-6                       | N7K-SUP2E                  | ROUTERMODULE | JAE1903071L

225  TECH-RTR-6                       | N7K-SUP2E                  | ROUTERMODULE | JAE1914001T

226  TECH-RTR-6                       | N7K-F248XP-25E             | ROUTERMODULE | JAE203804HX

227  1007CHCH-427-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1525K115

228  1007CHCH-427-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1525P13A

229  1007CHCH-427-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1525K0M8

230  1007CHCH-427-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1528R0EN

231  1007CHCH-427-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1522R1FL

232  1007CHCH-427-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1524P1SZ

233  1007CHCH-B-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1810Y0AQ

234  1007CHCH-B-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1807U0QB

235  1007CHCH-B-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1801U0JZ

236  1201DAVIS-1E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC2209X0YH

237  1201DAVIS-1E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC2209L1JX

238  1201DAVIS-1E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW2120F0Q0

239  1201DAVIS-1E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC2209U170

240  1201DAVIS-2E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW2143F0M4

241  1201DAVIS-2E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW2142D1Y0

242  1201DAVIS-2E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW2209C133

243  1201DAVIS-2E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC2120X0VT

244  1201DAVIS-2E-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC2120L0KX

245  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1537R0JR

246  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1537P0CD

247  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1629Z2LK

248  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1537K0AR

249  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1528K0EJ

250  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1617P18G

251  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1529R0NM

252  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1529K0JB

253  1201DAVIS-2W-ESW-1               | WS-C3750X-48P              | SWITCH       | FDO1529P0PG

254  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2142U1LR

255  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2142D1XT

256  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2142D1XQ

257  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2143L003

258  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2143D0W7

259  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2143U0P8

260  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2001C1BR

