               name               |           model            |  asset_type  | serial_number 
 KRESGE-1332-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2001U0Y2
 KRESGE-1332-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2001U1FN
 KRESGE-1332-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW1938D1K7
 KRESGE-4341-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2008X077
 KRESGE-4341-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2025C1JL
 KRESGE-4341-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2025D198
 KRESGE-4341-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2008U073
 KRESGE-4341-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2008X07R
 KRESGE-4341-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2001U1D6
 KRESGE-4341-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC1730V0CE
