"Object_Type","Name","FQDN","Guest","CPU_Socket_Count","Cores_Per_Socket","Total_Cores_Assigned","Memory_GB","Provisioned_Space_GB","Used_Space_GB","NIC_Count","Network_Name","Datastore_Path","DataCenter","Cluster_Name","vDC_Name"
"VM","SAF-PNCDB1B (6523e5e9-37f0-4dc1-8e1f-4dfda333bf8d)","SAF-PNCDB1B.ads.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","4","4","24","1646","1103","1","dvPortGroup_VMNET_Student_Affairs",,"NUCLOUD","EVVCENTERCLOUD1","StudentAffairs_vDC"
"VM","SAF-KPPALL1B","SAF-KPPALL1B.ads.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","1","2","2","6","120","120","1","dvPortGroup_VMNET_Student_Affairs",,"NUCLOUD","EVVCENTERCLOUD1","StudentAffairs_vDC"
"VM","law-users","law-users.law.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","1624","1168","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","law-ata","law-ata.law.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","2","2","4","32","132","98","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","FlowJo","flowjo.kelleher.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","66","66","1","dvPortGroup_VMNET_PCE",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","curtis-p.library.northwestern.edu (78621fc1-b93d-4172-a0ca-02043c03d80c)","curtis-p.library.northwestern.edu","Red Hat Enterprise Linux 6 (64-bit)","1","2","2","2","18","18","1","dvPortGroup_VMNET_NUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","EVStaffFS03-s.ADLibrary.northwestern.edu","EVStaffFS03-S.adlibrary.northwestern.edu",,"2","1","2","4","0","0","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD",,"NUL-vDC"
"VM","ADS Console","rcsads.ads.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","1","1","2","64","64","1","dvPortGroup_VMNET_A&RT",,"NUCLOUD","EVVCENTERCLOUD1","A&RT_vDC"
"VM","law-wsus","law-wsus.law.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","2","1","2","4","616","555","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","discolib1-s.library.northwestern.edu","discolib1-s","Red Hat Enterprise Linux 6 (64-bit)","1","2","2","2","42","42","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","print.mcc-2016","PRINT.mcc.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","108","41","1","dvPortGroup_VMNET_McCormick",,"NUCLOUD","EVVCENTERCLOUD1","McCormick"
"VM","SESPDC5 (fa9ddae2-f60e-422a-aa17-f53230e57385)","SESPDC5.sespad.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","1","1","2","66","20","1","dvPortGroup_VMNET_SESP1",,"NUCLOUD","EVVCENTERCLOUD1","SESP-vDC"
"VM","EV-LAWPRINT.library.northwestern.edu","EV-LAWPRINT.library.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","2","2","8","264","264","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","SAF-PNCWEB1B (4c5f2dd8-f4d6-45c2-9ed4-91ca4e1ec4c4)","SAF-PNCWEB1B.ads.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","2","2","4","114","54","1","dvPortGroup_VMNET_Student_Affairs",,"NUCLOUD","EVVCENTERCLOUD1","StudentAffairs_vDC"
"VM","faculty-prod","faculty-prod.wcas.northwestern.edu","Red Hat Enterprise Linux 6 (64-bit)","2","1","2","2","82","79","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD","EVVCENTERCLOUD1","WCAS-vDC"
"VM","law-swstore","law-swstore.law.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","856","609","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","docker","docker.wcas.northwestern.edu","Red Hat Enterprise Linux 7 (64-bit)","1","6","6","8","269","132","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD","EVVCENTERCLOUD1","WCAS-vDC"
"VM","musk18.tech.northwestern.edu","musk18","Ubuntu Linux (64-bit)","1","1","1","4","104","104","1","dvPortGroup_VMNET_McCormick",,"NUCLOUD","EVVCENTERCLOUD1","McCormick"
"VM","SAF-PCTPS1A","SAF-PCTPS1A.ads.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","1","2","2","4","78","78","1","dvPortGroup_VMNET_Student_Affairs_VLAN2471",,"NUCLOUD","EVVCENTERCLOUD1","StudentAffairs_vDC"
"VM","fs3.ad.wcas.northwestern.edu","FS3.ad.wcas.northwestern.edu",,"4","1","4","4","0","0","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","ftp-prd.library.northwestern (d5f8c37d-0e2f-486a-912e-7cd8e6c21707)","ftp-prd.library.northwestern.edu","Red Hat Enterprise Linux 6 (64-bit)","2","1","2","4","54","38","1","dvPortGroup_VMNET_NUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","ARDSEP","ARDSEP.oard.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","2","1","2","8","379","255","1","dvPortGroup_VMNET_OARD",,"NUCLOUD","EVVCENTERCLOUD1","OARD_vDC"
"VM","law-stuprint","law-stuprint.law.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","2","1","2","4","126","74","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","redminepce",,"Red Hat Enterprise Linux 7 (64-bit)","2","1","2","4","24","24","1","dvPortGroup_VMNET_PCE",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","tilt (62d321e6-d653-4ed5-b078-d4246d98d922)","tilt","Ubuntu Linux (64-bit)","2","1","2","0","17","16","1","dvPortGroup_VMNET_SESP1",,"NUCLOUD","EVVCENTERCLOUD1","SESP-vDC"
