            asset_name             |     asset_type     |       make       |                 model                 |                         serial_number                          |   ip_address    |                              business_service                              |    asset_fucntion    | support_model  |  owner_department   |             owner_contact              |      technical_contact      | date_of_last_record_verification | installation_ticket | decommission_ticket | location | cabinet 
 CHDC-232-021533-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451174                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:30:32-04           |                     |                     | CHDC     | 0215.33
 CHDC-232-021535-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451150                                                    |                 |                                                                            |                      |                |                     | NUIT-CI-SO-SERVICEOPERATION            |                             | 2020-05-26 13:38:19-04           |                     |                     | CHDC     | 0215.35
 CHDC-232-021535-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451279                                                    |                 |                                                                            |                      |                |                     | NUIT-CI-SO-SERVICEOPERATION            |                             | 2020-07-01 05:18:56-04           |                     |                     | CHDC     | 0215.35
 CHDC-232-0215.38-ESW-1            | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451204                                                    |                 |                                                                            | ACCESS NETWORK       |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:32:58-04           |                     |                     | CHDC     | 0215.38
 CHDC-232-0215.38-ESW-2            | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12431682                                                    |                 |                                                                            | ACCESS NETWORK       |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2019-12-10 15:57:28-05           |                     |                     | CHDC     | 0215.38
 CHDC-232-021539-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451298                                                    |                 |                                                                            |                      |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2020-05-26 14:32:38-04           |                     |                     | CHDC     | 0215.39
 CHDC-232-021539-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12431662                                                    |                 |                                                                            |                      | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2020-05-26 14:33:19-04           |                     |                     | CHDC     | 0215.39
 CHDC-232-215.29-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451214                                                    |                 |                                                                            | ACCESS NETWORK       | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:36:55-04           |                     |                     | CHDC     | 0215.29
 CHDC-232-215.29-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451296                                                    |                 |                                                                            | ACCESS NETWORK       | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:37:35-04           |                     |                     | CHDC     | 0215.29
 CHDC-232-21537-LTM-1              | NETWORK APPLIANCES | F5 NETWORKS      | VIPRION 2400                          | CHS405057S                                                     |                 |                                                                            | DISTRIBUTION NETWORK |                | NT                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 16:27:17-04           |                     |                     | CHDC     | 0215.38
