             name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
 EVRACT12                      | SERVER            | DELL             | POWEREDGE R630          | G42GGB2                                      | U34     | ADMIN
 EVRACT13                      | SERVER            | DELL             | POWEREDGE R630          | G42HGB2                                      | U34     | ADMIN
 EVRACT141                     | SERVER            | DELL             | POWEREDGE R630          | G42JGB2                                      | U34     | ADMIN
 EVRACT15                      | SERVER            | DELL             | POWEREDGE R640          | 6ZTSN23                                      | V39     | ADMIN
 EVRACT16                      | SERVER            | DELL             | POWEREDGE R640          | 6ZVRN23                                      | V39     | ADMIN
 EVRACT17                      | SERVER            | DELL             | POWEREDGE R640          | 6ZTQN23                                      | V39     | ADMIN
 EVRACT18                      | SERVER            | DELL             | POWEREDGE R640          | 6ZRRN23                                      | V39     | ADMIN
 EVRACT19                      | SERVER            | DELL             | POWEREDGE R640          | 6ZQSN23                                      | V39     | ADMIN
 EVRACT20                      | SERVER            | DELL             | POWEREDGE R640          | 6ZNQN23                                      | V39     | ADMIN
 EVRACT21                      | SERVER            | DELL             | POWEREDGE R640          | 6ZNSN23                                      | V39     | ADMIN
 EVRACT22                      | SERVER            | DELL             | POWEREDGE R640          | 6ZQQN23                                      | V39     | ADMIN
 EVRACT7                       | SERVER            | DELL             | POWEREDGE R620          | HP5WK02                                      | U34     | ADMIN
 EVRACT8                       | SERVER            | DELL             | POWEREDGE R620          | HP5XK02                                      | U34     | ADMIN
 EVSPLIDX01                    | SERVER            | DELL             | POWEREDGE R630          | BVQDS52                                      | O34     | ADMIN
 EVSPLIDX02                    | SERVER            | DELL             | POWEREDGE R630          | BVQCS52                                      | O34     | ADMIN
 EVSPLIDX03                    | SERVER            | DELL             | POWEREDGE R630          | BVQFS52                                      | O34     | ADMIN
 EVSPLIDX04                    | SERVER            | DELL             | POWEREDGE R630          | 7DWYPD2                                      | V34     | ADMIN
 EVSPLIDX05                    | SERVER            | DELL             | POWEREDGE R630          | 7DWZPD2                                      | V34     | ADMIN
 EVSPLIDX06                    | SERVER            | DELL             | POWEREDGE R640          | HM0CXQ2                                      | S34     | ADMIN
 EVSPLIDX06-DAS01              | SERVER            | DELL             | POWERVAULT MD1420       | H7R5XQ1                                      | S34     | ADMIN
 EVSPLIDX06-DAS02              | SERVER            | DELL             | POWERVAULT MD1420       | 92NZCS2                                      | S34     | ADMIN
 EVSPLIDX07                    | SERVER            | DELL             | POWEREDGE R640          | HM0DXQ2                                      | S34     | ADMIN
 EVSPLIDX07-DAS01              | SERVER            | DELL             | POWERVAULT MD1420       | HNQ6XQ2                                      | S34     | ADMIN
 EVSPLIDX07-DAS02              | SERVER            | DELL             | POWERVAULT MD1420       | H7R8XQ2                                      | S34     | ADMIN
 EVSPLIDX91                    | SERVER            | DELL             | POWEREDGE R620          | 3Z5BH02                                      | U34     | ADMIN
 EVSPLSES01                    | SERVER            | DELL             | POWEREDGE R640          | 3CV81Q2                                      | V34     | ADMIN
 EVSPLSRC01                    | SERVER            | DELL             | POWEREDGE R630          | BVQ8S52                                      | O34     | ADMIN
 EVSPLSRC02                    | SERVER            | DELL             | POWEREDGE R630          | BVPMS52                                      | O34     | ADMIN
 EVSPLSRCES                    | SERVER            | DELL             | POWEREDGE R630          | 8TQZ482                                      | O34     | ADMIN
 EVVSRX01                      | SERVER            | DELL             | POWEREDGE R630          | HHNZHB2                                      | P39     | ADMIN
 EVVSRX02                      | SERVER            | DELL             | POWEREDGE R630          | HHP0JB2                                      | P39     | ADMIN
 EVVSRX04                      | SERVER            | DELL             | POWEREDGE R740XD        | 4JMHHQ2                                      | S34     | ADMIN
 EXVSRX03                      | SERVER            | DELL             | POWEREDGE R740XD        | 4JN9HQ2                                      | T34     | ADMIN
 FFRATM1PRD                    | SERVER            | DELL             | POWEREDGE R620          | 1HFY842                                      | S39     | ADMIN
 FFRATM1PRD2                   | SERVER            | DELL             | POWEREDGE R640          | JCPPHQ2                                      | S39     | ADMIN
 NUBIEVAPP07                   | SERVER            | DELL             | POWEREDGE R630          | 4TK3S52                                      | U39     | ADMIN
 NUBIEVAPP08                   | SERVER            | DELL             | POWEREDGE R630          | 4TK4S52                                      | U39     | ADMIN
 NUBIEVAPP09                   | SERVER            | DELL             | POWEREDGE R630          | 4TK5S52                                      | U39     | ADMIN
