                 name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
 CH GARAGE 2                          | SERVER             | PELCO             | NSM5200                               | ACHNG81                                                        | 0215.22
 CH GARAGE 3                          | SERVER             | PELCO             | NSM5200                               | ABRUU18                                                        | 0215.22
 CH GARAGE 4                          | SERVER             | PELCO             | NSM5200                               | ACHNG79                                                        | 0215.22
 CHICAGO CAMPUS NSM 1                 | SERVER             | PELCO             | NSM5200                               | ACHNGD8                                                        | 0215.22
 GARAGE ELE                           | SERVER             | PELCO             | NSM5200                               | AEHVQZ3                                                        | 0215.22
 NSM 0                                | SERVER             | PELCO             | SM5200                                | 3HQBHQ2                                                        | 0215.22
 NSM 1                                | SERVER             | PELCO             | SM5200                                | 3HPFHQ2                                                        | 0215.22
 NSM 2                                | SERVER             | PELCO             | SM5200                                | 3HQDHQ2                                                        | 0215.22
 NSM 3                                | SERVER             | PELCO             | SM5200                                | 5ZDZXM2                                                        | 0215.22
 QUALYS_CHICAGO                       | SERVER APPLIANCES  | QUALYS            | QUALYSGUARD                           | 1449208365                                                     | 0216.38
 CHCSPDPM-DAS01A                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 7XL92R1                                                        | 0215.25
 CHCSPDPM-DAS01B                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 9XL92R1                                                        | 0215.25
 CHCSPDPM-DAS01C                      | STORAGE            | DELL              | POWERVAULT MD1220                     | GY5ZLS1                                                        | 0215.25
 CHCSPDPM-DAS02A                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 8XL92R1                                                        | 0215.28
 CHCSPDPM-DAS02B                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 6XL92R1                                                        | 0215.28
 CHCSPDPM-DAS02C                      | STORAGE            | DELL              | POWERVAULT MD1220                     | GY5YLS1                                                        | 0215.28
 CHCSPDPM04-DAS04A                    | STORAGE            | DELL              | POWERVAULT MD1220                     | GY6WLS1                                                        | 0215.28
 CHCSPDPM04-DAS04B                    | STORAGE            | DELL              | POWERVAULT MD1220                     | GY5WLS1                                                        | 0215.28
 CHCSPDPM04-DAS04C                    | STORAGE            | DELL              | POWERVAULT MD1220                     | H4QKKS1                                                        | 0215.28
 CHCSPDPM04-DAS04D                    | STORAGE            | DELL              | POWERVAULT MD1220                     | GY6SLS1                                                        | 0215.28
 CHCSPMBX                             | STORAGE            | DELL              | POWEREDGE R710                        | JHPWNN1                                                        | 0215.25
 CHCSPMBX01-DAS01A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CJWGX1                                                        | 0215.30
 CHCSPMBX01-DAS01B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CJVGX1                                                        | 0215.30
 CHCSPMBX01-DAS01C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CJTGX1                                                        | 0215.30
 CHCSPMBX02-DAS02B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CCWGX1                                                        | 0215.30
