1              name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
153  EVESXCLOUD31                  | SERVER            | DELL             | POWEREDGE R630          | H17HR52                                      | Q34     | ADMIN

154  EVESXCLOUD32                  | SERVER            | DELL             | POWEREDGE R630          | H17JR52                                      | Q34     | ADMIN

155  EVESXCLOUD33                  | SERVER            | DELL             | POWEREDGE R630          | H17KR52                                      | Q34     | ADMIN

156  EVESXCLOUD34                  | SERVER            | DELL             | POWEREDGE R630          | HHPHHB2                                      | Q34     | ADMIN

157  EVESXCLOUD35                  | SERVER            | DELL             | POWEREDGE R630          | HHPJHB2                                      | Q34     | ADMIN

158  EVESXCLOUD36                  | SERVER            | DELL             | POWEREDGE R630          | HRK6GK2                                      | U39     | ADMIN

159  EVESXCLOUD37                  | SERVER            | DELL             | POWEREDGE R630          | HRK7GK2                                      | U39     | ADMIN

160  EVESXCLOUD38                  | SERVER            | DELL             | POWEREDGE R630          | 84VVFK2                                      | U39     | ADMIN

161  EVESXCLOUD39                  | SERVER            | DELL             | POWEREDGE R630          | 84VTFK2                                      | U39     | ADMIN

162  EVESXCLOUD40                  | SERVER            | DELL             | POWEREDGE R630          | 84VSFK2                                      | U39     | ADMIN

163  EVESXCLOUD41                  | SERVER            | DELL             | POWEREDGE R630          | 84VWFK2                                      | U39     | ADMIN

164  EVESXCLOUD42                  | SERVER            | DELL             | POWEREDGE R630          | 84VXFK2                                      | U39     | ADMIN

165  EVESXCLOUD43                  | SERVER            | DELL             | POWEREDGE R630          | HHXHHB2                                      | T34     | ADMIN

166  EVESXCLOUD44                  | SERVER            | DELL             | POWEREDGE R630          | HHXVHB2                                      | T34     | ADMIN

167  EVESXCLOUD45                  | SERVER            | DELL             | POWEREDGE R630          | 7Z01D42                                      | Q34     | ADMIN

168  EVESXCLOUD46                  | SERVER            | DELL             | POWEREDGE R630          | 7YZXC42                                      | Q34     | ADMIN

169  EVESXCLOUD47                  | SERVER            | DELL             | POWEREDGE R630          | 7YZ1D42                                      | Q34     | ADMIN

170  EVESXCLOUD48                  | SERVER            | DELL             | POWEREDGE R630          | 7ZS5D42                                      | O34     | ADMIN

171  EVESXCLOUD49                  | SERVER            | DELL             | POWEREDGE R630          | 7YZZC42                                      | V34     | ADMIN

172  EVESXTNSC01N02                | SERVER            | DELL             | POWEREDGE R730XD        | 5XQ4V52                                      | S39     | ADMIN

173  EVESXTNSC01N03                | SERVER            | DELL             | POWEREDGE R730XD        | 5XQ5V52                                      | S39     | ADMIN

174  EVITCSPDC                     | SERVER            | DELL             | POWEREDGE R640          | 12S3HQ2                                      | R39     | ADMIN

175  EVNBMS01                      | SERVER            | DELL             | POWEREDGE R640          | 4GS9HQ2                                      | S34     | ADMIN

176  EVNBMS02                      | SERVER            | DELL             | POWEREDGE R640          | 4GRHHQ2                                      | S34     | ADMIN

177  EVNBMSTR01                    | SERVER            | DELL             | POWEREDGE R640          | 4GSCHQ2                                      | V34     | ADMIN

178  EVPUMHOST                     | SERVER            | DELL             | POWEREDGE R630          | 7N98FB2                                      | R39     | ADMIN

179  EVRACP10                      | SERVER            | DELL             | POWEREDGE R620          | HP7YK02                                      | V34     | ADMIN

180  EVRACP11                      | SERVER            | DELL             | POWEREDGE R640          | 6ZSRN23                                      | P34     | ADMIN

181  EVRACP12                      | SERVER            | DELL             | POWEREDGE R640          | 6ZSSN23                                      | P34     | ADMIN

182  EVRACP13                      | SERVER            | DELL             | POWEREDGE R640          | 6ZRSN23                                      | P34     | ADMIN

183  EVRACP14                      | SERVER            | DELL             | POWEREDGE R640          | 6ZVQN23                                      | P34     | ADMIN

184  EVRACP6                       | SERVER            | DELL             | POWEREDGE R620          | HP6TK02                                      | V34     | ADMIN

185  EVRACP7                       | SERVER            | DELL             | POWEREDGE R620          | HP9TK02                                      | V34     | ADMIN

186  EVRACP8                       | SERVER            | DELL             | POWEREDGE R620          | HP8XK02                                      | V34     | ADMIN

187  EVRACP9                       | SERVER            | DELL             | POWEREDGE R620          | HP6WK02                                      | V34     | ADMIN

188  EVRACR07                      | SERVER            | DELL             | POWEREDGE R620          | D357P22                                      | U34     | ADMIN

189  EVRACR08                      | SERVER            | DELL             | POWEREDGE R620          | D345P22                                      | U34     | ADMIN

190  EVRACR10                      | SERVER            | DELL             | POWEREDGE R620          | D354P22                                      | U34     | ADMIN

